id,kraj,leto,cena,agencija,opis,nadstropja,povrsina_zemljisca,povrsina_hise,ima_klet,drzava
6408723,BELA,1986,159800,"Nepremičninska družba, d.o.o., PE RE/MAX Premium","134,8 m2, samostojna, zgrajena l. 1986, 1.652 m2 zemljišča, Hiša na mirni lokaciji v objemu narave, prodamo. Cena: 159.8...",,1652,134,,Slovenija
6434109,BELAVŠEK,1866,85000,"Nepremičninska družba d.o.o., PE RE/MAX Poetovio","91 m2, hiša, zgrajena l. 1866, 38.637 m2 zemljišča, kmetija s hišo, gospodarskimi poslopji, vinogradi in gozdom, prodamo...",,38637,91,,Slovenija
6437238,BELE VODE,1981,210000,HABIT d.o.o.,"395 m2, samostojna, zgrajena l. 1981, 3.637 m2 zemljišča, P+1+2+M, Ponuja se vam priložnost kupiti večjo hišo (395 m2) z...",P+1+2+M,3637,395,False,Slovenija
6371644,BENEDIKT,2021,189000,Market center Omnis d.o.o.,"107,05 m2, atrijska, zgrajena l. 2021, 650 m2 zemljišča, prodamo. Cena: 189.000,00 EUR",,650,107,,Slovenija
6371645,BENEDIKT,2021,189000,Market center Omnis d.o.o.,"117,64 m2, atrijska, zgrajena l. 2021, 650 m2 zemljišča, prodamo. Cena: 189.000,00 EUR",,650,117,,Slovenija
6371647,BENEDIKT,2021,189000,Market center Omnis d.o.o.,"138,81 m2, samostojna, zgrajena l. 2021, 650 m2 zemljišča, prodamo. Cena: 189.000,00 EUR",,650,138,,Slovenija
6436750,BENEDIKT,1995,176000,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.","380,9 m2, dvostanovanjska, zgrajena l. 1995, adaptirana l. 2021, 808 m2 zemljišča, K+P+M, Opremljena, prostorna večstano...",K+P+M,808,380,True,Slovenija
6201999,"BEREČA VAS, SUHOR",1975,70000,"Nepremičnine in svetovanje Juršič, Blaž Juršič s.p.","76,4 m2, samostojna, zgrajena l. 1975, adaptirana l. 2017, 2.784 m2 zemljišča, Hiša na mirni lokaciji z odlično lego JZ....",,2784,76,,Slovenija
6374708,BERTOKI,1999,212000,Domodom d.o.o.,"60,2 m2, vrstna, adaptirana l. 1999, 259 m2 zemljišča, P+1, prodamo. Cena: 212.000,00 EUR",P+1,259,60,False,Slovenija
6379077,BERTOKI,1989,212000,"Apertura, poslovanje z nepremičninami, d.o.o.","60,2 m2, vrstna, zgrajena l. 1989, adaptirana l. 2013, 259 m2 zemljišča, P+1, V Bertokih prodamo končno vrstno hiško z v...",P+1,259,60,False,Slovenija
6379799,BERTOKI,1989,212000,"Nepremičninska družba, d.o.o., PE RE/MAX Obala","60,2 m2, vrstna, zgrajena l. 1989, adaptirana l. 2013, 259 m2 zemljišča, Prodamo vrstno hišo v Bertokih, z zemljiščem, p...",,259,60,,Slovenija
6372875,BERTOKI,2009,205000,Zasebna ponudba,"61 m2, vrstna, adaptirana l. 2009, 259 m2 zemljišča, P+1, Prijetna hiša v centru naselja s pripadajočim zemljiščem z let...",P+1,259,61,False,Slovenija
6388918,BERTOKI,1989,205000,"INVESTMOND nepremičnine, Edmond Petrovič s.p.","66 m2, vrstna, zgrajena l. 1989, adaptirana l. 2013, 259 m2 zemljišča, P+1, Končna vrstna hiša s zemljiščem, prodamo. Ce...",P+1,259,66,False,Slovenija
6411804,BERTOKI,1970,339000,"Apertura, poslovanje z nepremičninami, d.o.o.","172 m2, dvostanovanjska, zgrajena l. 1970, adaptirana l. 2009, 240 m2 zemljišča, P+1, V Bertokih prodamo 2-stanovanjsko ...",P+1,240,172,False,Slovenija
6114321,BERTOKI,2006,450000,"Agencija Stenat 2000, Jagoda Nikolič s.p.","304 m2, samostojna, zgrajena l. 2006, 832 m2 zemljišča, P+1, Bertoki, 3 km od Kopra in morja, novejša samostojna hiša, p...",P+1,832,304,False,Slovenija
6438847,BEZENA,2021,185000,Zasebna ponudba,"122,5 m2, samostojna, novogradnja - zgr. l. 2021, 500 m2 zemljišča, P+1, Samostojna hiša v bezeni, lastno parkirišče z n...",P+1,500,122,False,Slovenija
6388476,BEZENA,1934,250000,"Maryland, nepremičnine d.o.o.","244,9 m2, samostojna, zgrajena l. 1934, adaptirana l. 2015, 94.200 m2 zemljišča, K+P+M/1 nad., prodamo. Cena: 250.000,00...",K+P+M,94200,244,True,Slovenija
6434959,"BILJE, SONČNA LOKACIJA",1922,217000,Hiša nepremičnine 1 d.o.o.,"182 m2, vrstna, zgrajena l. 1922, adaptirana l. 1975, 277 m2 zemljišča, P+1+M, prodamo. Cena: 217.000,00 EUR",P+1+M,277,182,False,Slovenija
6426979,BISERJANE,1969,126000,"DOM-US, nepremičnine, d.o.o.","358,13 m2, dvojček, zgrajen l. 1969, adaptiran l. 2015, 1.557 m2 zemljišča, P+1+2, prodamo. Cena: 126.000,00 EUR",P+1+2,1557,358,False,Slovenija
6395538,BISTRICA OB DRAVI,1920,149900,"Agenti nepremičninsko posredovanje, d.o.o.","266,6 m2, samostojna, zgrajena l. 1920, adaptirana l. 2011, 1.189 m2 zemljišča, K+P+M/1 nad., prodamo. Cena: 149.900,00 ...",K+P+M,1189,266,True,Slovenija
6368037,BISTRICA OB DRAVI,1902,180000,Nepremičnine Brin Balažič (Skupina Balažič d.o.o.),"459 m2, samostojna, zgrajena l. 1902, adaptirana l. 1972, 4.792 m2 zemljišča, prodamo. Cena: 180.000,00 EUR",,4792,459,,Slovenija
